1,1325.510999,1357.657434,1334.011982
2,1326.896238,1344.216771,1337.132955
3,1321.256683,1340.751147,1333.769574
4,1318.839799,1338.498809,1332.986946
5,1321.807371,1340.349174,1333.039633
6,1318.947466,1348.624004,1335.029732
7,1319.990928,1338.847887,1332.277397
8,1319.029994,1346.157761,1336.295124
9,1333.329236,1342.524805,1337.334116
10,1320.802947,1353.648569,1337.488073
11,1317.867506,1339.358876,1333.848616
12,1317.336147,1341.432157,1333.109338
13,1318.062893,1344.400962,1333.443492
14,1322.482024,1338.657738,1334.258167
15,1335.184456,1365.354419,1348.806000
1,1708.387297,1765.991842,1738.712625
2,1713.010199,1748.773337,1726.580398
3,1737.568230,1764.281548,1752.888718
4,1834.673156,1950.262706,1878.268670
5,2220.593085,2347.738543,2282.151989
6,2531.857839,2671.276752,2563.589974
7,2791.029390,2914.936865,2860.212697
8,3123.161708,3468.936246,3209.514732
9,3512.300037,3687.172384,3566.070082
10,3902.055422,4147.897040,3980.082266
11,4299.170981,4427.610850,4340.900993
12,4671.189093,4853.291931,4739.176589
13,5040.256934,5868.174738,5606.109331
14,5439.691713,5649.227339,5495.882753
15,5792.413405,5951.780284,5869.111664
